listing_id,number,score
5886395,11,4.64
5887020,4,5.0
5887717,286,4.48
5891844,3,4.33
5893248,158,4.6
5893921,90,4.26
5914901,2,4.5
5929711,20,4.95
5931030,6,4.83
5931145,164,4.62
5939399,18,4.76
5946473,228,4.65
5986332,2,5.0
5988881,55,4.82
6001756,11,4.5
6014140,2,4.5
6027743,295,4.52
6060977,29,4.93
6065352,6,4.67
6090253,1,3.0
6091960,62,4.74
6097160,121,4.76
6111087,2,4.5
6111384,14,4.77
6119495,2,5.0
6127298,11,4.55
6149285,10,4.7
6153865,83,4.76
6164649,6,5.0
6164856,25,4.83
6179782,25,4.79
6237072,2,4.5
6241997,9,4.33
6255482,2,5.0
6266903,94,4.83
6271602,4,4.5
6283612,15,4.87
6286228,86,4.92
6289736,2,4.0
6290081,79,4.96
6294418,272,4.94
6309046,20,4.95
6347315,28,4.85
6348110,24,4.83
6360951,2,4.0
6361100,2,4.5
6368959,28,4.82
6385487,122,4.9
6394075,1,5.0
6396228,426,4.96
6406867,313,4.5
6423196,17,5.0
6432589,3,5.0
6450986,26,4.56
6450993,182,4.95
6455564,55,4.76
6456408,7,4.67
6457068,173,4.88
6458595,22,4.65
6465408,153,4.94
6466331,41,4.73
6478098,18,4.69
6478206,75,4.8
6484506,40,4.9
6494825,399,4.91
6509140,28,4.64
6511695,3,4.67
6525248,5,4.8
6525773,14,4.93
6526063,2,4.5
6530735,28,4.82
6531116,1,5.0
6566265,23,4.95
6568588,40,4.48
6580137,291,4.8
6602165,115,4.87
6630854,6,4.8
6631138,1,4.0
6637187,361,4.44
6651135,8,4.88
6655655,50,4.72
6656507,3,5.0
6657851,86,4.88
6666524,1,5.0
6677566,169,4.91
6677678,176,4.94
6681883,222,4.58
6691473,30,4.9
6705101,101,4.96
6710681,59,4.9
6718806,30,4.56
6739022,1,3.0
6743129,27,4.81
6756249,4,3.25
6761015,22,4.84
6765402,125,4.97
6770636,15,4.8
6778919,3,5.0
6781323,92,4.98
6797599,2,4.0
6803316,104,4.88
6811302,1,4.0
6816938,41,4.95
6817067,42,4.88
6834535,331,4.74
6835763,2,5.0
6839796,48,4.92
6850333,1,4.0
6860535,93,4.76
6867338,22,4.91
6881382,4,3.5
6882121,2,4.5
6895847,340,4.78
6896840,45,4.76
6897771,14,4.93
6900334,2,5.0
6905248,1,3.0
6914056,109,4.45
6929078,48,4.69
6936928,1,5.0
6937541,1,3.0
6937850,16,4.86
6938725,1,5.0
6944587,2,3.0
6951899,47,4.74
6953188,6,4.67
6964134,19,4.56
6964763,16,4.21
6966196,1,5.0
6988799,23,4.82
6988823,10,4.7
6991430,413,4.92
7015349,20,5.0
7032060,31,4.29
7064136,4,4.67
7064551,1,5.0
7071476,76,4.9
7092187,8,4.5
7092752,10,4.11
7112941,5,3.75
7121459,31,4.94
7132062,349,4.83
7155088,76,4.73
7167116,6,4.5
7170257,1,4.0
7185702,29,4.93
7193740,72,4.82
7197690,17,4.76
7202481,1,5.0
7203213,7,4.57
7210651,282,4.62
7214457,28,4.79
7223692,2,5.0
7241004,5,5.0
7256198,4,4.5
7268410,4,4.75
7269130,78,4.41
7269423,47,4.76
7299362,1,5.0
7299730,2,5.0
7323991,274,4.78
7326924,93,4.84
7328652,431,4.87
7344109,121,4.87
7346103,39,4.76
7353069,53,4.6
7355856,2,4.0
7361592,11,4.36
7375861,1,5.0
7380009,8,4.63
7380547,6,4.83
7380796,2,4.0
7380947,11,4.55
7385383,11,4.73
7400449,8,4.43
7401319,2,5.0
7412084,30,4.54
7412897,21,4.55
7413610,101,4.86
7418150,127,4.52
7419724,23,5.0
7450614,178,4.76
7450650,443,4.87
7455315,25,4.88
7472894,1,3.0
7476727,7,4.33
7514961,7,4.57
7521525,7,4.14
7524194,2,4.0
7525262,2,5.0
7527861,53,4.66
7531892,67,4.66
7542897,87,4.91
7546933,37,4.22
7552182,90,4.33
7552924,112,4.73
7554718,1,5.0
7561671,8,4.86
7562223,13,4.23
7569253,16,4.69
7572502,13,5.0
7581366,4,4.25
7586899,140,4.95
7590197,81,4.5
7595241,5,4.75
7600386,4,2.75
7600405,1,5.0
7609058,8,4.71
7609686,3,3.5
7619391,11,4.1
7624035,24,4.83
7625212,173,4.62
7626133,9,4.67
7630788,172,4.83
7631467,37,4.35
7636508,11,4.64
7642454,1,5.0
7642809,2,4.0
7646488,39,4.82
7660443,6,4.83
7673096,99,4.62
7683106,127,4.74
7691466,5,4.5
7692164,51,4.86
7695793,2,5.0
7708290,4,4.75
7721413,7,3.14
7721603,2,4.5
7737502,181,4.87
7740402,185,4.26
7743645,1,3.5
7768793,1,4.0
7772306,8,4.25
7781066,422,4.9
7794292,6,4.67
7804738,4,5.0
7814088,126,4.95
7820496,31,4.65
7831456,18,4.56
7838014,33,4.91
7855080,47,4.94
7856689,119,4.93
7862573,7,4.8
7863252,1,1.0
7878322,72,4.67
7881171,2,4.5
7882182,44,4.67
7892233,31,4.83
7914345,55,4.44
7921756,1,5.0
7929311,10,4.86
7946909,2,5.0
7948611,1,4.0
8000922,3,5.0
8003265,48,4.96
8011178,280,4.79
8019732,3,5.0
8040999,1,5.0
8080563,167,4.54
8088575,128,4.77
8095360,5,5.0
8097974,18,4.73
8110645,2,4.5
8111927,4,4.75
8137470,206,4.77
8156378,11,4.0
8189259,1,5.0
8196103,192,4.75
8216655,81,4.81
8224514,47,4.77
8250941,4,5.0
8255660,3,4.0
8266542,6,5.0
8286998,450,4.86
8292221,61,4.45
8292546,5,4.8
8308211,3,5.0
8310664,238,4.69
8347728,1,4.0
8352687,124,4.48
8367825,19,4.74
8377038,93,4.84
8380582,55,4.84
8381004,4,4.75
8381293,185,4.95
8381482,264,4.93
8384749,1,5.0
8397692,266,4.59
8399632,3,5.0
8404040,1,5.0
8405783,2,4.0
8446604,111,4.69
8464863,24,4.88
8466682,5,3.6
8512998,5,4.8
8521217,12,4.92
8522094,98,4.66
8546527,21,4.76
8550046,146,4.4
8559817,267,4.91
8571353,19,4.89
8608235,176,4.87
8643994,52,4.83
8650923,21,4.78
8668079,61,4.83
8697709,67,4.74
8719028,324,4.74
8731351,37,4.86
8748836,3,4.67
8759826,4,4.5
8766196,4,4.5
8777085,2,5.0
8793671,98,4.24
8805267,6,4.83
8806790,65,4.89
8835332,2,4.0
8838761,8,4.75
8864614,10,4.8
8885662,2,4.5
8903563,1,5.0
8915234,56,4.31
8967884,3,4.67
8968309,104,4.71
8977131,3,4.67
8988287,15,4.87
9000195,44,4.82
9011981,2,4.5
9019981,4,4.75
9038493,84,4.89
9045260,24,4.57
9056000,129,4.78
9072636,1,5.0
9089096,3,4.0
9092972,21,4.9
9111307,58,4.89
9111339,18,4.53
9115591,2,4.5
9122936,114,4.81
9126603,5,4.4
9130624,1,4.0
9132464,22,4.77
9141999,1,3.0
9149075,179,4.54
9151839,24,4.75
9160181,306,4.94
9162084,1,4.0
9186066,84,4.88
9192255,239,4.28
9196723,21,4.62
9224676,49,4.47
9232746,8,4.88
9236381,7,5.0
9247540,218,4.54
9254452,41,4.9
9258159,15,4.8
9280022,1,4.0
9290756,5,4.6
9293644,44,4.86
9315474,127,4.56
9338880,5,4.8
9342223,25,4.81
9366403,171,4.95
9401760,61,4.75
9420082,2,4.5
9422501,4,4.75
9448528,137,4.63
9449373,86,4.76
9468237,4,5.0
9470721,351,4.64
9475111,36,4.88
9559095,199,4.9
9568877,1,2.5
9573310,10,4.8
9592476,1,4.0
9613946,1,4.0
9623111,23,4.88
9641440,60,4.93
9661195,5,4.0
9666343,1,5.0
9687319,3,4.67
9709674,45,4.49
9722299,1,4.0
9722820,1,5.0
9730671,497,4.95
9734828,14,4.79
9742084,33,4.65
9748309,1,5.0
9791712,51,4.76
9804066,211,4.94
9820907,6,3.67
9835087,1,5.0
9835656,5,5.0
9851118,9,4.25
9857003,18,4.78
9876106,289,4.64
9892682,164,4.41
9901340,79,4.89
9919222,305,4.92
9926255,8,4.5
9931795,1,5.0
9941144,35,4.91
9950604,17,4.18
9969686,11,4.82
10006474,8,4.88
10035766,18,4.41
10098485,2,4.5
10128292,232,4.83
10134641,7,4.71
10146203,106,4.58
10207081,23,4.52
10219889,51,4.78
10247410,5,4.6
10249544,55,4.75
10259932,84,4.81
10265954,187,4.85
10269677,109,4.13
10294208,126,4.83
10350171,19,4.63
10355640,3,5.0
10365390,1,5.0
10404636,4,4.5
10409581,17,4.88
10410110,19,4.89
10410661,3,5.0
10433007,182,4.69
10509188,74,4.93
10513280,247,4.97
10521517,2,4.5
10572695,23,4.87
10585555,3,5.0
10600660,78,4.95
10654920,44,4.43
10676358,131,4.84
10691248,12,4.92
10703188,3,4.33
10703610,92,4.77
10715719,1,4.0
10724235,3,4.0
10728163,41,4.5
10781131,3,5.0
10784535,1,4.0
10818556,2,4.5
10824761,7,5.0
10881092,6,4.0
10883005,129,4.87
10894501,7,4.71
10907846,1,5.0
10908028,7,4.57
10916487,1,5.0
10945353,1,5.0
10961041,10,4.6
10963898,7,5.0
10964495,7,4.71
10976284,8,4.38
10978447,113,4.3
10983874,5,4.4
10987796,109,4.88
11008133,151,4.81
11013301,1,5.0
11041254,7,4.71
11056503,105,4.97
11056980,47,4.72
11064371,37,4.77
11080303,69,4.59
11117015,1,3.0
11119407,4,5.0
11122611,56,4.67
11131579,158,4.97
11131679,2,5.0
11134872,1,4.0
11137294,25,4.32
11138404,2,4.0
11160926,2,4.5
11201562,52,4.92
11211533,82,4.89
11216939,5,4.4
11217756,103,4.13
11233281,36,4.77
11238793,1,4.0
11248447,8,4.63
11249898,13,4.54
11250886,3,5.0
11255072,62,4.62
11269403,200,4.74
11275684,22,4.91
11276216,1,4.0
11278756,350,4.98
11299001,17,4.93
11299538,2,5.0
11300853,22,4.95
11310913,119,4.71
11353114,1,3.0
11366798,4,5.0
11369169,13,4.92
11373749,3,5.0
11392404,4,5.0
11412823,197,4.79
11417283,71,4.86
11425524,109,4.94
11428580,51,4.8
11439644,10,4.7
11448467,233,4.82
11467986,1,5.0
11470909,4,4.75
11477976,7,4.86
11479067,151,4.49
11485089,5,4.8
11502727,151,4.96
11506495,7,4.29
11520349,11,4.91
11524249,6,4.33
11525921,5,4.33
11526781,2,5.0
11541636,8,4.71
11551428,2,5.0
11551602,2,4.0
11562437,15,4.87
11565151,5,5.0
11565492,2,5.0
11566781,14,5.0
11567383,2,4.5
11572186,4,4.75
11587474,129,4.91
11587490,143,4.78
11587622,14,4.71
11590759,1,5.0
11590832,1,4.0
11604537,70,4.73
11618147,38,4.95
11620981,24,4.71
11621055,8,5.0
11642773,29,4.96
11647025,110,4.91
11651390,5,5.0
11653856,14,4.64
11653894,361,4.57
11654784,21,4.62
11656742,150,4.97
11673606,1,5.0
11685691,42,4.8
11691914,39,4.1
11693425,2,5.0
11708439,60,4.88
11719759,2,4.5
11726550,29,4.9
11727850,3,4.33
11728466,30,4.87
11745622,277,4.8
11765229,13,4.67
11765464,7,5.0
11772450,18,4.94
11782221,68,4.93
11785748,1,5.0
11785973,6,4.2
11810445,4,5.0
11810725,4,4.75
11822012,247,4.55
11822994,8,5.0
11823871,25,4.92
11826262,6,4.67
11833547,196,4.7
11840083,127,4.65
11840668,7,4.71
11843568,7,4.83
11848597,80,4.63
11859424,5,3.25
11862066,437,4.69
11877623,1,5.0
11889903,107,4.73
11932118,29,4.72
11937394,19,4.95
11938262,33,4.74
11956632,82,4.89
11960414,1,4.0
11969518,45,4.82
11973034,1,5.0
11977138,90,4.89
11983399,1,5.0
11988114,117,4.68
11989170,28,4.81
11994815,6,4.83
11997820,2,4.0
12001151,1,5.0
12001805,1,5.0
12006853,10,5.0
12018433,47,4.94
12022727,2,4.5
12046928,5,5.0
12054202,16,4.33
12100190,45,4.43
12103804,94,4.73
12105464,9,5.0
12121040,11,4.7
12124804,65,4.31
12131331,20,4.5
12142737,171,4.68
12142926,211,4.62
12151406,38,4.86
12190222,124,4.69
12200071,9,4.67
12202681,16,4.0
12205880,25,4.83
12218744,5,4.25
12230769,10,4.6
12245664,75,4.82
12277186,2,4.5
12280770,14,4.5
12291396,12,4.7
12305028,278,4.67
12316834,4,5.0
12319039,210,4.71
12335084,2,5.0
12338741,100,4.91
12339299,53,4.52
12357480,182,4.59
12361199,1,5.0
12367192,2,5.0
12380462,11,4.82
12395615,113,4.82
12400367,422,4.72
12407479,178,4.85
12436876,1,5.0
12443911,180,4.87
12451476,6,4.5
12459154,162,4.92
12462228,1,4.0
12486069,1,5.0
12487441,11,5.0
12491909,83,4.7
12507320,78,4.45
12527344,16,5.0
12539487,27,4.85
12541660,6,4.0
12551534,3,4.67
12555070,22,4.77
12567097,277,4.83
12625067,2,5.0
12636200,337,4.87
12641231,1,4.0
12643250,97,4.95
12649302,66,4.89
12675194,8,4.88
12680324,23,4.65
12699587,8,4.63
12706821,211,4.57
12709042,5,4.8
12724935,7,5.0
12727517,4,4.75
12751334,60,4.46
12752158,1,5.0
12753211,1,5.0
12753648,1,3.0
12778275,55,4.84
12794406,1,5.0
12805887,8,5.0
12811219,11,4.91
12816494,6,4.83
12822768,221,4.95
12822802,361,4.9
12849119,14,4.86
12864489,14,4.64
12868145,30,4.93
12885399,1,5.0
12885762,1,5.0
12896253,145,4.8
12897537,11,4.5
12904479,26,4.69
12925152,19,4.95
12929877,105,4.92
12930876,166,4.89
12943297,14,4.88
12951324,3,4.0
12966754,3,4.5
12978613,361,4.54
12981422,55,4.81
12981704,61,4.93
12996153,9,4.78
13024488,75,4.92
13027020,146,4.74
13029437,136,4.91
13051489,15,4.6
13056759,414,4.75
13061094,164,4.96
13062042,9,4.67
13062789,6,4.33
13070848,193,4.6
13072039,5,5.0
13073815,4,4.25
13079299,3,3.5
13087320,55,4.35
13089327,7,4.83
13093955,82,4.9
13121416,2,5.0
13132549,3,2.5
13133350,9,4.89
13136263,4,5.0
13145273,4,4.75
13146804,1,5.0
13146810,40,4.29
13157736,58,4.91
13166568,125,4.97
13168698,1,5.0
13170185,19,4.95
13170839,17,5.0
13187976,52,4.94
13189351,24,4.87
13191068,1,5.0
13200949,28,4.96
13212160,2,4.0
13221415,87,4.83
13238633,13,4.38
13243054,3,5.0
13256574,2,5.0
13263446,148,4.96
13269894,6,4.8
13273818,45,4.37
